"statefip","statecode","statename","lGpdmp_date","lGpdmp_year","lGpdmp_month","lCpdmp_date","lCpdmp_year","lCpdmp_month","elpdmp_date","elpdmp_year","elpdmp_month","mopdmp_date","mopdmp_year","mopdmp_month","mapdmp_year","mapdmp_month","mapdmp_date","rxpdmp_year","rxpdmp_month","rxpdmp_date"
2,"AK","Alaska",584,2008,9,NA,NA,NA,NA,NA,NA,624,2012,1,2017,7,690,2017,7,690
1,"AL","Alabama",550,2005,11,535,2004,8,NA,NA,NA,555,2006,4,NA,NA,NA,NA,NA,NA
5,"AR","Arkansas",638,2013,3,618,2011,7,NA,NA,NA,640,2013,5,2017,1,684,NA,NA,NA
4,"AZ","Arizona",572,2007,9,NA,NA,NA,NA,NA,NA,587,2008,12,2017,10,693,NA,NA,NA
6,"CA","California",360,1990,1,NA,NA,NA,540,2005,1,596,2009,9,2018,4,699,NA,NA,NA
8,"CO","Colorado",545,2005,6,NA,NA,NA,NA,NA,NA,577,2008,2,NA,NA,NA,NA,NA,NA
9,"CT","Connecticut",561,2006,10,NA,NA,NA,NA,NA,NA,582,2008,7,2015,10,669,2016,7,678
11,"DC","DC",649,2014,2,NA,NA,NA,NA,NA,NA,681,2016,10,NA,NA,NA,NA,NA,NA
10,"DE","Delaware",620,2011,9,606,2010,7,NA,NA,NA,631,2012,8,2012,3,626,2017,4,687
12,"FL","Florida",611,2010,12,NA,NA,NA,NA,NA,NA,621,2011,10,NA,NA,NA,NA,NA,NA
13,"GA","Georgia",618,2011,7,618,2011,7,NA,NA,NA,640,2013,5,2014,7,654,NA,NA,NA
15,"HI","Hawaii",360,1990,1,NA,NA,NA,443,1996,12,625,2012,2,NA,NA,NA,2016,7,678
19,"IA","Iowa",556,2006,5,556,2006,5,NA,NA,NA,590,2009,3,NA,NA,NA,NA,NA,NA
16,"ID","Idaho",360,1990,1,NA,NA,NA,483,2000,4,579,2008,4,NA,NA,NA,NA,NA,NA
17,"IL","Illinois",360,1990,1,NA,NA,NA,483,2000,4,599,2009,12,2018,1,696,2012,1,624
18,"IN","Indiana",360,1990,1,NA,NA,NA,570,2007,7,570,2007,7,2014,7,654,2017,7,690
