State or otherjurisdiction,1991,1992,1994,1996,1997,1998,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Federal(FLSA),3.8,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Alabama,3.8,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Alaska,4.3,4.75,4.75,4.75,5.25,5.65,5.65,5.65,5.65,7.15,7.15,7.15,7.15,7.15,7.15,7.15,7.75,7.75,7.75,7.75,7.75,8.75,9.75,9.8,9.84,10.19,10.19,10.34,10.34,10.85
Arizona,3.8,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.75,6.9,7.25,7.25,7.35,7.65,7.8,7.9,8.05,8.05,10.0,10.5,12.0,12.0,12.15,12.8,13.85
Arkansas,3.35,3.65,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,7.5,8.0,8.5,8.5,9.25,10.0,11.0,11.0,11.00
California,4.25,4.25,4.25,4.25,4.75,5.15,5.75,6.25,6.75,6.75,6.75,6.75,6.75,7.5,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,10.0,11.0,12.0,12.0,13.0,14.0,15.50
Colorado,3.0,3.0,3.0,3.0,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.85,7.02,7.28,7.24,7.36,7.64,7.78,8.0,8.23,8.31,9.3,10.2,12.0,12.02,12.32,12.56,13.65
Connecticut,4.25,4.27,4.27,4.27,4.77,5.18,6.15,6.4,6.7,6.9,7.1,7.1,7.4,7.65,7.65,8.0,8.25,8.25,8.25,8.25,8.7,9.15,9.6,10.1,10.1,11.0,12.0,13.0,14.0,15.00
Delaware,3.8,4.25,4.25,4.65,5.0,5.15,5.65,6.15,6.15,6.15,6.15,6.15,6.15,6.65,7.15,7.15,7.25,7.25,7.25,7.25,7.75,8.25,8.25,8.25,8.25,9.25,9.25,9.25,10.5,11.75
Florida,3.8,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.4,6.67,6.79,7.21,7.25,7.25,7.67,7.79,7.93,8.05,8.05,8.1,8.25,8.56,8.56,10.0,10.0,12.00
Georgia,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15
Hawaii,3.85,3.85,5.25,5.25,5.25,5.25,5.25,5.25,5.75,6.25,6.25,6.25,6.75,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.75,8.5,9.25,10.1,10.1,10.1,10.1,12.0,12.00
Idaho,3.8,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Illinois,3.8,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.5,6.5,6.5,7.5,7.75,8.0,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,9.25,10.0,11.0,12.0,13.00
Indiana,3.35,3.35,3.35,3.35,3.35,3.35,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Iowa,4.25,4.65,4.65,4.65,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Kansas,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Kentucky,3.8,4.25,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Louisiana,3.8,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Maine,3.85,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.75,6.25,6.25,6.35,6.5,6.75,7.0,7.25,7.5,7.5,7.5,7.5,7.5,7.5,7.5,9.0,10.0,12.0,12.0,12.15,12.75,13.80
